label,result,vertices,edges,runtime
168,sat,10,10,"1.9423749000000043
"
169,sat,7,6,"1.9479992000000266
"
170,sat,7,8,"1.6766332999999918
"
171,sat,7,8,"1.9120882000000279
"
172,sat,6,5,"2.702009099999998
"
173,sat,7,7,"2.166205599999955
"
174,sat,7,7,"2.4386670000000095
"
175,sat,6,6,"1.8609582000000273
"
176,sat,7,8,"1.6185032000000206
"
177,sat,6,7,"2.006598399999973
"
178,sat,7,7,"1.8230101999999988
"
179,sat,9,10,"2.204890599999999
"
180,sat,5,5,"1.9140580000000114
"
181,sat,6,6,"2.030410599999982
"
182,sat,8,5,"2.0639223000000015
"
183,sat,6,4,"1.771910700000035
"
184,sat,6,7,"1.7936990000000037
"
185,sat,6,4,"1.6138491000000386
"
186,sat,6,6,"1.5939845999999989
"
187,sat,6,7,"1.7122077999999874
"
188,sat,6,6,"1.9087089999999876
"
189,sat,6,5,"1.8866648000000055
"
190,sat,6,6,"1.8202099999999746
"
191,sat,7,5,"1.999061500000039
"
192,sat,9,8,"2.0434055999999714
"
193,sat,6,5,"1.7416890999999737
"
194,sat,5,5,"1.72299890000005
"
195,sat,5,5,"1.7223247000000015
"
196,sat,7,8,"1.5782020999999986
"
197,sat,9,10,"1.7292282000000228
"
198,sat,5,4,"1.5217026999999916
"
199,sat,7,8,"2.4771001000000297
"
200,sat,9,11,"3.619945200000018
"
201,sat,6,6,"2.8687017999999966
"
202,sat,8,9,"2.057000900000048
"
203,sat,4,3,"2.299444200000039
"
204,sat,10,13,"2.208098199999995
"
205,sat,6,5,"1.7156091000000515
"
206,sat,8,9,"1.7251608999999917
"
207,sat,9,11,"2.005758999999955
"
208,sat,10,14,"2.641804200000024
"
209,sat,6,6,"1.59747440000001
"
210,sat,4,2,"1.706370100000015
"
211,sat,6,4,"1.6776486999999634
"
212,sat,8,8,"1.6317907999999761
"
213,sat,6,3,"1.7028272999999672
"
214,sat,8,7,"1.7648867000000337
"
215,sat,4,3,"2.0144692999999734
"
