graphs_name,embeddability,embeddability_bool
MoCW@DA_?chGHG?F_,unembeddable,unsat
MoCWACa_?chGHG?F_,minimally unembeddable,unsat
MoCWaCaQ@GO??L?R_,7-grid embeddable,sat
MoCXAE??@S_kSC?L_,5-grid embeddable,sat
MoCY?SaHA_O??J?T_,5-grid embeddable,sat
MoCY?dAH@OO??R?L_,5-grid embeddable,sat
MoCY_C`HAOO??X?F_,5-grid embeddable,sat
MoCY_OaGQGO??T?J_,9-grid embeddable,sat
MoCY_PAGPGO??T?J_,9-grid embeddable,sat
MoC[@@??AQceCc?w_,unembeddable,unsat
MoC[A?_?AQceCc?w_,minimally unembeddable,unsat
MoC`?_G_?H_YTQQh?,13-grid embeddable,sat
MoC`GgISAOO??R?L_,5-grid embeddable,sat
MoC`GoQQAGO??R?L_,5-grid embeddable,sat
MoC`OoSPACO??J?T_,5-grid embeddable,sat
MoC`W_SOQOO??J?T_,9-grid embeddable,sat
MoC`W_WOQGO??J?T_,9-grid embeddable,sat
MoCa??VIQSQ??T@B_,embeddable,sat
MoCa??ZJAIQ??R?d_,embeddable,sat
MoCa??pe?E_hB@Og_,minimally unembeddable,unsat
MoCa??rQO[Q??T@B_,embeddable,sat
MoCa??xBaIQ??R?d_,embeddable,sat
MoCa?@RIO[Q??T@B_,embeddable,sat
MoCa?APF?MgOI@?X_,minimally unembeddable,unsat
MoCa?_G_?H_YTQIh?,embeddable,sat
MoCaG_G?AadE@c_W_,embeddable,sat
MoCaGgIKAOO??R?L_,9-grid embeddable,sat
MoCaOSSKAGO??F?X_,5-grid embeddable,sat
MoCaOWEKA_O??J?T_,5-grid embeddable,sat
MoCaO_C?@EiaAK_W_,5-grid embeddable,sat
MoCaO_C?@ageAc_W_,13-grid embeddable,sat
MoCaO_C?@agqAK_W_,embeddable,sat
MoCaO_C?@oge?s_W_,embeddable,sat
MoCaO_C?@ogi?k_W_,13-grid embeddable,sat
MoCaO_C?AEeaAK_W_,embeddable,sat
MoCaOgEIA_O??J?T_,5-grid embeddable,sat
MoCaOoEKAGO??F?X_,5-grid embeddable,sat
MoCaOoEKAGO??R?L_,9-grid embeddable,sat
MoCaOoSHACO??J?T_,5-grid embeddable,sat
MoCaW_DIA_O??X?F_,5-grid embeddable,sat
MoCao_DIAGO??F?X_,5-grid embeddable,sat
MoCh?SQSAGO??J?T_,9-grid embeddable,sat
MoCh_CKSAAO??R?L_,5-grid embeddable,sat
MoCh_OQOQGO??J?T_,9-grid embeddable,sat
MoCh_oAOIGO??R?L_,5-grid embeddable,sat
MoCi?SEKA_O??J?T_,7-grid embeddable,sat
MoCi?SQKAGO??J?T_,5-grid embeddable,sat
MoCi?_A?@agqAK_W_,embeddable,sat
MoCiC?O?_b@IGLPa?,5-grid embeddable,sat
MoCiO_BKAGO??F?X_,7-grid embeddable,sat
MoCiW_OOP@O??T?J_,9-grid embeddable,sat
MoCi_OBKAGO??F?X_,5-grid embeddable,sat
MoCi_OQGQGO??J?T_,13-grid embeddable,sat
MoCi_oAGIGO??R?L_,13-grid embeddable,sat
MoCio_COHAO??L?R_,5-grid embeddable,sat
MoCio_DGA?o??X?F_,5-grid embeddable,sat
