graphs_name,embeddability,embeddability_bool
IpD?GUbV?,minimally unembeddable,unsat
IqKaK?X@w,3-grid embeddable,sat
IsP@OkWHG,3-grid embeddable,sat
IsPH@CYDO,3-grid embeddable,sat
It?IQGiDO,minimally unembeddable,unsat
J@`ICC[Gv_?,minimally unembeddable,unsat
J@`KACXHf_?,minimally unembeddable,unsat
J@aIACXHf_?,5-grid embeddable,sat
JK?KQSSHN_?,5-grid embeddable,sat
JK`POB`DOU_,unembeddable,unsat
JRPCSGoAgJ_,minimally unembeddable,unsat
J`?I@SUbF_?,5-grid embeddable,sat
J`hSA?hD_F_,minimally unembeddable,unsat
JsOH?`JH_i_,minimally unembeddable,unsat
K@QCAGbA_g~?,5-grid embeddable,sat
K@QCAGbB?c~?,5-grid embeddable,sat
K@QCAGdA_c~?,minimally unembeddable,unsat
K@aAAAiXOqAp,3-grid embeddable,sat
KAICH@@DOT^?,minimally unembeddable,unsat
KCObdRCC_Q_f,3-grid embeddable,sat
KGD?X?P`cB~?,unembeddable,unsat
KK?AhqG`ITCi,unembeddable,unsat
KKaAPHOK?S_l,5-grid embeddable,sat
KQ?GPGQPSD~?,unembeddable,unsat
KQ?H?_J`QK~?,5-grid embeddable,sat
K_CcSL_SHTAi,unembeddable,unsat
K_GTAQOP@KbK,minimally unembeddable,unsat
K`?KA@se_YCX,minimally unembeddable,unsat
K`?KAAYTPWCX,unembeddable,unsat
K`?LAIGS?[eK,13-grid embeddable,sat
K`?LAQOP@KbK,minimally unembeddable,unsat
K`?_O`BBcI~?,unembeddable,unsat
K`CcA?raaI@b,unembeddable,unsat
K`GSKP?OHTAi,25-grid embeddable,sat
K``@GqOW?Q_t,9-grid embeddable,sat
K``AC?kE`FAi,3-grid embeddable,sat
KhCK??ZHeA?j,unembeddable,unsat
KhCK??Z`bA?j,5-grid embeddable,sat
KiGSC?YH_R?j,3-grid embeddable,sat
KkGO?CraaI@b,5-grid embeddable,sat
Kk_@HPCC?b`q,9-grid embeddable,sat
Kk_H@DCC?b`q,5-grid embeddable,sat
Kk_J@?DC?b`q,5-grid embeddable,sat
Kk_i?C`C?b`q,9-grid embeddable,sat
Kko_GC`C?b`q,minimally unembeddable,unsat
Ko@PaOg_?h`Y,3-grid embeddable,sat
KoD@I_g_?e`e,minimally unembeddable,unsat
KoDAH_g_?i`U,5-grid embeddable,sat
KoDPS?XP@C_N,5-grid embeddable,sat
KoDPaOg_?H_Z,3-grid embeddable,sat
KpD@_XG_?I_V,7-grid embeddable,sat
KpLA?gI_?I_V,5-grid embeddable,sat
KpT@?gI_?I_V,25-grid embeddable,sat
KqCaC?[I_J?Z,minimally unembeddable,unsat
KqGO?FAIOi`s,unembeddable,unsat
KqGqO_H_?K_N,3-grid embeddable,sat
KqHPO_H_?K_N,5-grid embeddable,sat
KqI?O`QIOL?j,unembeddable,unsat
Ks?A@SUH?oh_,3-grid embeddable,sat
Ks?APKSEAGdC,9-grid embeddable,sat
Ks?I@?XDaTCi,minimally unembeddable,unsat
Ks@H@PAC?b`q,5-grid embeddable,sat
Kt??OT@P_wCc,5-grid embeddable,sat
Kt??WP@P_qCc,5-grid embeddable,sat
Kt?G?DIPOqCo,3-grid embeddable,sat
Kt?G?DKOoqCo,minimally unembeddable,unsat
Kt?GGLAOOpDA,9-grid embeddable,sat
Kt?GOHAOWsCg,25-grid embeddable,sat
KwCOPHA_?h`Y,21-grid embeddable,sat
KyGO_WI_?I_V,unembeddable,unsat
K{?i?OBC?b`q,5-grid embeddable,sat
L??E@SVkCWk_U@,3-grid embeddable,sat
L??G]OxhAgkOc`,3-grid embeddable,sat
L??KbF?gG]JCLC,unembeddable,unsat
L??MDDQHOhl?e@,unembeddable,unsat
L??X@EQQiaPHx?,3-grid embeddable,sat
L??Y@EFS`QUAqA,unembeddable,unsat
L?C_SCfQcaI`wC,unembeddable,unsat
L?C`OiaSQSOhoK,unembeddable,unsat
L?D_ACb`_syGiG,5-grid embeddable,sat
L?GQACiDSLPI{?,unembeddable,unsat
L?GSACraaIJAhA,unembeddable,unsat
L?Oq@CRcHQPBp_,unembeddable,unsat
L?Os@C`EqPQDp_,unembeddable,unsat
L?_PABo`aIdOEP,embeddable,sat
L?_Q@BobAEdGD`,unembeddable,unsat
L?a?_`IIQICo{?,3-grid embeddable,sat
L?a?_cgPISCg{?,minimally unembeddable,unsat
L?a?_dGIIICo{?,9-grid embeddable,sat
L?a@?`IPOkDG{?,5-grid embeddable,sat
L?a@?`IPPKBG{?,7-grid embeddable,sat
L?a@?ccEIKHG{?,9-grid embeddable,sat
L?aI?dAGPGbC{?,5-grid embeddable,sat
L?aI@DIHSeFCTC,unembeddable,unsat
L?aIACaCPHBA{?,minimally unembeddable,unsat
L?aIACaGOhBA{?,5-grid embeddable,sat
L?d_?FAgPdIIBo,3-grid embeddable,sat
L?hO?cacR@osQo,embeddable,sat
L?hca_??HQasoK,13-grid embeddable,sat
L?otBAOS?W?R?Z,3-grid embeddable,sat
L?qbC`O?@o_e?t,3-grid embeddable,sat
L@?ACGURCQDP{C,unembeddable,unsat
L@?ACKSRCPDP{C,5-grid embeddable,sat
L@?ACOTRCKDP{C,unembeddable,unsat
L@?AS?SbAJDW{C,unembeddable,unsat
L@?ASMGP?occ{?,5-grid embeddable,sat
L@?ASMGP?pCa{?,9-grid embeddable,sat
L@?ASTC`?gdC{?,5-grid embeddable,sat
L@?CAHGb@UAs{C,unembeddable,unsat
L@?CAMIQ?gd_{?,5-grid embeddable,sat
L@?CAPCb@UAs{C,unembeddable,unsat
L@?CAPDE`KP_{@,13-grid embeddable,sat
L@?CAPDb?sCo{?,5-grid embeddable,sat
L@?CATCD`PP_{@,5-grid embeddable,sat
L@?CATCaGkD_{?,5-grid embeddable,sat
L@?CATCb?kDC{?,5-grid embeddable,sat
L@?CCTCQGkD_{?,13-grid embeddable,sat
L@?CQICQGeD_{?,5-grid embeddable,sat
L@?CSLGP?occ{?,5-grid embeddable,sat
L@?CSLGP?pCa{?,5-grid embeddable,sat
L@?IAE?b@TAk{C,5-grid embeddable,sat
L@?IAE@a_hD_{?,5-grid embeddable,sat
L@?IAEAb?hDG{?,5-grid embeddable,sat
L@?IAIDa?cdO{?,5-grid embeddable,sat
L@?IAIEa?adO{?,9-grid embeddable,sat
L@?IC?QRCJDW{C,minimally unembeddable,unsat
L@?IC?TRCEDP{C,embeddable,sat
L@?IC@DCpSP_{@,9-grid embeddable,sat
L@?IC@DaOkDO{?,5-grid embeddable,sat
L@?IC@Db?eDO{?,9-grid embeddable,sat
L@?ICADCpSH_{@,9-grid embeddable,sat
L@?ICADR?eDO{?,5-grid embeddable,sat
L@?ICAIPOeD_{?,5-grid embeddable,sat
L@?ICDCCXSP_{@,5-grid embeddable,sat
L@?ICDCb?bDO{?,5-grid embeddable,sat
L@?ICDG`OkDC{?,5-grid embeddable,sat
L@?ICPE`?cdG{?,5-grid embeddable,sat
L@?KA@E`OsDG{?,9-grid embeddable,sat
L@?KA@I`OkDG{?,9-grid embeddable,sat
L@?KAAEPOsDG{?,9-grid embeddable,sat
L@?KAAIPOeD_{?,5-grid embeddable,sat
L@?KAAIPOkDG{?,minimally unembeddable,unsat
L@?KACraaIJAhA,unembeddable,unsat
L@?KAD@a_hD_{?,9-grid embeddable,sat
L@?KAEADHQH_{@,5-grid embeddable,sat
L@?KAECPGqDO{?,13-grid embeddable,sat
L@?KAPCCpDP_{@,13-grid embeddable,sat
L@?KAPCb?eCS{?,9-grid embeddable,sat
L@?KC@HP`SAg{?,9-grid embeddable,sat
L@?KCDDQ?cd_{?,5-grid embeddable,sat
L@?KCDGPOkDC{?,5-grid embeddable,sat
L@?KCGPRADDP{C,minimally unembeddable,unsat
L@?KG_aRABPH{C,13-grid embeddable,sat
L@?KG_gRABOX{C,unembeddable,unsat
L@?KQQCP?ccK{?,9-grid embeddable,sat
L@?PAEHQ?Wop{C,unembeddable,unsat
L@?SAChQ?Wop{C,5-grid embeddable,sat
L@?_aPCa?Tow{C,13-grid embeddable,sat
L@@?`PCa?Tow{C,5-grid embeddable,sat
L@@?cOcQ?Tow{C,13-grid embeddable,sat
L@@@?iHQ?Sop{C,unembeddable,unsat
L@@@Ga@Q?Rpo{C,unembeddable,unsat
L@@C?ccQ?Rpo{C,unembeddable,unsat
L@@C?eCQ?Rdo{C,25-grid embeddable,sat
L@@C?iHQ?Scp{C,minimally unembeddable,unsat
L@@C?ocQ?Tow{C,unembeddable,unsat
L@@C?qDQ?Scp{C,minimally unembeddable,unsat
L@@CGa@Q?Rdo{C,unembeddable,unsat
L@AA?eCQ?Rdo{C,unembeddable,unsat
L@OCAC`BGgOp}?,5-grid embeddable,sat
L@OCCCSHAD@i}?,41-grid embeddable,sat
L@OCK@CCXA@p}?,5-grid embeddable,sat
L@PCCBPHOk@PID,unembeddable,unsat
L@PCCB`DPo@P@d,unembeddable,unsat
L@Q?CDBK_[tGTG,unembeddable,unsat
L@Q@?_EAQDOJ~?,5-grid embeddable,sat
L@QAC@pDcWD@?t,minimally unembeddable,unsat
L@QAC@sESWCP?t,unembeddable,unsat
L@QCA?dA_g?Z}?,25-grid embeddable,sat
L@QCH?GCII?]}?,9-grid embeddable,sat
L@QLA_??HTAioK,25-grid embeddable,sat
L@QLBAOS?C_LBB,unembeddable,unsat
L@`?_OCG[DGX~?,unembeddable,unsat
L@`ACBoJ?s?i?r,unembeddable,unsat
L@`MC`_K?C_LBB,13-grid embeddable,sat
L@aAA@TEdOCH@d,unembeddable,unsat
L@aAAAYXOQ?pKB,unembeddable,unsat
L@aJA_??HTAioK,unembeddable,unsat
L@qAK`_?@o_q?\,9-grid embeddable,sat
L@q_a?@?aIfC_k,13-grid embeddable,sat
LA?PCQCOgUdc{O,unembeddable,unsat
LA?_cQAQHH`w{O,unembeddable,unsat
LAGC@LAAGgOb}?,minimally unembeddable,unsat
LAGCI?_DGYO[}?,minimally unembeddable,unsat
LAGCI?`B?go[}?,49-grid embeddable,sat
LAICA?dA_g?Z}?,9-grid embeddable,sat
LAICI?`A_g?N}?,embeddable,sat
LA_H?_BPCBcq}?,unembeddable,unsat
LA_OP?B`ABcq}?,13-grid embeddable,sat
LAdDE?_@@K_MEH,embeddable,sat
LAdcE?AG@B_sED,13-grid embeddable,sat
LB`KE?AG@K_MEH,9-grid embeddable,sat
LBa@IOoo?@`H@b,5-grid embeddable,sat
LBaIE?AG@K_MEH,13-grid embeddable,sat
LBaaCDG?@o_e?t,21-grid embeddable,sat
LCGAG_@QN?Clf_,minimally unembeddable,unsat
LCOOP?@_iHcw}?,unembeddable,unsat
LCOP??HPcEck}?,unembeddable,unsat
LCO__O@OkHcw}?,unembeddable,unsat
LCQbCPO?@o_e?t,9-grid embeddable,sat
LCQbC`G?@o_e?t,13-grid embeddable,sat
LCU`A?@?aIfC_k,13-grid embeddable,sat
LC_a?B`BOeIaIa,unembeddable,unsat
LC`@?AMQPEAh[C,minimally unembeddable,unsat
LC`@?B`CoYIaIa,unembeddable,unsat
LC`@?B`DOUh_K`,unembeddable,unsat
LDYAE?C?`B`cCd,25-grid embeddable,sat
LF`K@C_OGW?X?N,minimally unembeddable,unsat
LG?[@CRSHQPBp_,unembeddable,unsat
LG?__qC_iS`k{O,unembeddable,unsat
LGAPQ?@CN?PFFo,minimally unembeddable,unsat
LGCC@LAAGgOb}?,minimally unembeddable,unsat
LGCCAK_BGgOT}?,9-grid embeddable,sat
LGCCAKcAGgOR}?,9-grid embeddable,sat
LGCCCCKHADAi}?,5-grid embeddable,sat
LGCCCCLHACAb}?,13-grid embeddable,sat
LGCCI?_BOhO[}?,25-grid embeddable,sat
LGCCIK_AGgOF}?,13-grid embeddable,sat
LGCCK?cDQC@L}?,9-grid embeddable,sat
LGCCK?cDaA@L}?,13-grid embeddable,sat
LGCCK@CAXAAp}?,9-grid embeddable,sat
LGCCK@CGOc`k}?,5-grid embeddable,sat
LGCCK@CG_a`k}?,5-grid embeddable,sat
LGCCK@DG?a`q}?,13-grid embeddable,sat
LGCCKCKHA@AJ}?,5-grid embeddable,sat
LGCCKDCG?a`e}?,5-grid embeddable,sat
LGCOCEGHGMhS{O,unembeddable,unsat
LGfD?__O?e`E@X,5-grid embeddable,sat
LGfD?`?G?p_i?x,minimally unembeddable,unsat
LHae?OOO?f@I@L,13-grid embeddable,sat
LHbD?OOO?q_U@X,5-grid embeddable,sat
LHe?K?BOBBBA@d,41-grid embeddable,sat
LIIC?AXPPE@aCb,5-grid embeddable,sat
LIIC?AXT@S?i?r,unembeddable,unsat
LJaCAOcC_Q?d?f,minimally unembeddable,unsat
LK?GOHI`OcCH{?,9-grid embeddable,sat
LK?GOIIPOcCH{?,9-grid embeddable,sat
LK?GW?RHQAP@{?,5-grid embeddable,sat
LK?G_O``IE?r}?,25-grid embeddable,sat
LK?__OH@cIgU}?,unembeddable,unsat
LKIA?AJHQKAIEB,embeddable,sat
LKIA?AdOo[AIEB,minimally unembeddable,unsat
LKIA?BBHO[AIEB,unembeddable,unsat
LKJD?OOO?q_U@X,9-grid embeddable,sat
LKME?H?G?Z?YCL,13-grid embeddable,sat
LKSs@D?_?Q_s?N,9-grid embeddable,sat
LKY__d?_?Q_s?N,unembeddable,unsat
LK_?GB`BOeIaIa,unembeddable,unsat
LK_a??UQSSChC[,embeddable,sat
LK_a?BPD`W@H?t,minimally unembeddable,unsat
LK`@??qQSW?xC[,unembeddable,unsat
LK`@??qR?MPHC[,unembeddable,unsat
LK`@?aaSOW?lAe,5-grid embeddable,sat
LKab?OOO?VAE@T,25-grid embeddable,sat
LKce?H?G?Z?YCL,5-grid embeddable,sat
LL?CQQCP?S_kKB,21-grid embeddable,sat
LL?GIQAo?K`KKB,minimally unembeddable,unsat
LL?KCDGP?T?iKB,minimally unembeddable,unsat
LLQKA?A?Ob`aGh,13-grid embeddable,sat
LL`?GOA?PTAioK,13-grid embeddable,sat
LL`?GOiDU??T?V,13-grid embeddable,sat
LL`?OG@?`TAioK,13-grid embeddable,sat
LLaIA?A?PHaIAh,13-grid embeddable,sat
LOCOP?BPABoq}?,minimally unembeddable,unsat
LOOP??HDaEok}?,unembeddable,unsat
LOU_a?@?aIfC_k,unembeddable,unsat
LQ??HGQBaQPD{C,unembeddable,unsat
LQ??IQGHOd@o{@,13-grid embeddable,sat
LQ?GG_GGYDOX~?,9-grid embeddable,sat
LQ?GWP@_PHAQ{?,7-grid embeddable,sat
LQ?G_OBP@Boq}?,minimally unembeddable,unsat
LQ?H?_FBCAgR}?,unembeddable,unsat
LQ?OO?HHaEok}?,unembeddable,unsat
LQ?P??HBaEok}?,unembeddable,unsat
LQED?ODOAE_eM@,9-grid embeddable,sat
LQEK?C`OAH_YM@,13-grid embeddable,sat
LQQ??BBK`Q@qDQ,3-grid embeddable,sat
LQQ??BBK`QAiBa,3-grid embeddable,sat
LQ`?`AaSOW?tAU,41-grid embeddable,sat
LQ`@?aHPgaCPBB,unembeddable,unsat
LQc_I?@?_ZMA_k,13-grid embeddable,sat
LQd_?CA?Pd@ioK,minimally unembeddable,unsat
LQd_`E?O?Q_s?N,9-grid embeddable,sat
LQdcA?@?```K@d,13-grid embeddable,sat
LQgOI?@?_ZMA_k,unembeddable,unsat
LQhO?CA?Pd@ioK,unembeddable,unsat
LQhP?e?O?Q_s?N,13-grid embeddable,sat
LQhSA?@?```K@d,unembeddable,unsat
LR?GOGPGe?PTPU,minimally unembeddable,unsat
LR?KAECQ?S_kKB,minimally unembeddable,unsat
LR`G?CA?Pd@ioK,embeddable,sat
LR`KA?`C_W?L?f,unembeddable,unsat
LSOa?BPD`W@H?t,unembeddable,unsat
LSP@??UY?UOhC[,embeddable,sat
LSXSA?@?_FaaIH,13-grid embeddable,sat
LTP?GOA?PTAioK,minimally unembeddable,unsat
LTP?GOiDU??T?V,unembeddable,unsat
LTP?OG@?`TAioK,5-grid embeddable,sat
LTQIA?A?Ob`aGh,9-grid embeddable,sat
LUGICHAG?X?YCF,5-grid embeddable,sat
LUGIK@@G?R?qCF,25-grid embeddable,sat
LUGKAHAG?X?YCF,minimally unembeddable,unsat
LUHGAEAG?X?YCF,25-grid embeddable,sat
LUHK?D@G?R?qCF,9-grid embeddable,sat
LUWAK?DG?R?qCF,13-grid embeddable,sat
LUYA?CDG?R?qCF,5-grid embeddable,sat
LUh?I?BG?R?qCF,minimally unembeddable,unsat
LWDT?Q?O?p_Y@X,13-grid embeddable,sat
LWEA?@Q`O[DHC[,unembeddable,unsat
LWEC?gIOBo?i?l,minimally unembeddable,unsat
LWECOGPOAD_iM@,5-grid embeddable,sat
LWEQPA?O?p_i?x,embeddable,sat
LWIQ_Q?O?p_i?x,3-grid embeddable,sat
LWMAG`?_?e`E@X,5-grid embeddable,sat
LWMA_H?_?e`E@X,5-grid embeddable,sat
LWMQ?D?_?e`E@X,minimally unembeddable,unsat
LWPSO___?f?eAT,5-grid embeddable,sat
LWPS_O__?f@I@L,25-grid embeddable,sat
LWTD?_C_?i`E?x,13-grid embeddable,sat
LWUB?GO_?j?UAT,5-grid embeddable,sat
LW`I____?i_UAX,13-grid embeddable,sat
LW`R?OO_?i_UAX,25-grid embeddable,sat
LWdA_G__?h_YAX,5-grid embeddable,sat
LWdA_G__?i_UAX,9-grid embeddable,sat
LX`CA?QCWW?tAU,unembeddable,unsat
LYOc_OC_?N@ICL,embeddable,sat
LYOc_OC_?V?eCT,5-grid embeddable,sat
LYOc_OC_?f@I@L,13-grid embeddable,sat
LYQD?GGC?U_kCL,5-grid embeddable,sat
LYQD?GOA?X_YCX,21-grid embeddable,sat
LYSc?CC_?V?eCT,17-grid embeddable,sat
LY_?GATOpK@IEB,9-grid embeddable,sat
LY_?GAdOok@IEB,minimally unembeddable,unsat
LY`CO_CG?r?e?t,unembeddable,unsat
LY`D?GOA?X_YCX,25-grid embeddable,sat
LYaAO_CG?r?e?t,25-grid embeddable,sat
LYeA?GAG?r?i?l,9-grid embeddable,sat
L[HAG_G_?Y_UCX,25-grid embeddable,sat
L[QAG_GG?Y_UCX,minimally unembeddable,unsat
L[S__M?O?E`c?N,9-grid embeddable,sat
L[`A??TAxAAPBB,3-grid embeddable,sat
L[`AG_GG?Y_UCX,5-grid embeddable,sat
L_?__pAAXHpo{O,unembeddable,unsat
L_C??kcGkXHQ{O,unembeddable,unsat
L_CP@?H@[TGq{O,unembeddable,unsat
L_CaCBoF@S?i?r,minimally unembeddable,unsat
L_CcA?riAg@I@b,unembeddable,unsat
L_D@?_D?{Sdc{O,unembeddable,unsat
L_Dad?G_@RAQ@L,5-grid embeddable,sat
L_Dce?GG@o_M@h,minimally unembeddable,unsat
L_Eab?G_@o_M@h,minimally unembeddable,unsat
L_EbA_G_?TaIHH,minimally unembeddable,unsat
L_EbA_G_?s_MHH,minimally unembeddable,unsat
L_EbC`G?@o_Y@L,9-grid embeddable,sat
L_GO?FoaaIAqIQ,minimally unembeddable,unsat
L_GQCBoE`K@I@R,unembeddable,unsat
L_GS?KJO@?aB~?,5-grid embeddable,sat
L_GS?SEO@@aI~?,minimally unembeddable,unsat
L_GSA?rRPOA`_b,unembeddable,unsat
L_GSAAqRPOA`?r,unembeddable,unsat
L_H@?_H_gKah}?,unembeddable,unsat
L_KRE?C_@J?UED,5-grid embeddable,sat
L_Lac?@_?r?UHD,25-grid embeddable,sat
L_PTC_GG@o_M@h,9-grid embeddable,sat
L_QbC_GC?d`KHD,minimally unembeddable,unsat
L_QbC_GC?f@EHD,5-grid embeddable,sat
L_U`?_@?_edcoK,13-grid embeddable,sat
L_U`?_@?`TAioK,13-grid embeddable,sat
L_YO`?A?PTAioK,25-grid embeddable,sat
L_YO`?iDU??T?V,unembeddable,unsat
L_aab?GC?b`SHD,13-grid embeddable,sat
L_gSaH_?@o_U@T,25-grid embeddable,sat
L_o_jAO?@o_q?\,25-grid embeddable,sat
L`??GQKOpSAg{?,5-grid embeddable,sat
L`??GQKQ_iCW{?,5-grid embeddable,sat
L`??IQGHOd@o{@,13-grid embeddable,sat
L`??OIKOpSAg{?,5-grid embeddable,sat
L`?G?EKQ_iCW{?,5-grid embeddable,sat
L`?GGO[_qACP{?,5-grid embeddable,sat
L`?GWP@_PHAQ{?,13-grid embeddable,sat
L`?G_O``IE?r}?,minimally unembeddable,unsat
L`?H??PBaEok}?,5-grid embeddable,sat
L`?H?_@BIDow}?,minimally unembeddable,unsat
L`?IC@kDT_@P?t,minimally unembeddable,unsat
L`?K??]QSECh[C,minimally unembeddable,unsat
L`?K?SEO?acE~?,9-grid embeddable,sat
L`?KA?jV?IE@_b,unembeddable,unsat
L`?KA?mUOIE@_b,unembeddable,unsat
L`?KA@kDdC@HCT,unembeddable,unsat
L`?P?O@BaDok}?,unembeddable,unsat
L`?P?OH@cIgU}?,unembeddable,unsat
L`AaQ_G_?s_MHH,minimally unembeddable,unsat
L`AaU?GC?s_MHH,minimally unembeddable,unsat
L`C?GO@PN?C\f_,minimally unembeddable,unsat
L`DAL?G_?VEA@L,minimally unembeddable,unsat
L`DAT?C_?VEA@L,5-grid embeddable,sat
L`DID?A_?VEA@L,41-grid embeddable,sat
L`DID?A_@JBA?l,25-grid embeddable,sat
L`DKB?A_?ReA@h,9-grid embeddable,sat
L`DKB?A_?pcI@h,25-grid embeddable,sat
L`EIB?A_?ReA@h,9-grid embeddable,sat
L`EIB?A_?pcI@h,25-grid embeddable,sat
L`EaACG_?s_MHH,minimally unembeddable,unsat
L`EaE?G?_s_MHH,9-grid embeddable,sat
L`EaQ?@_?b`QHH,21-grid embeddable,sat
L`EaQ?@_?q_UHH,25-grid embeddable,sat
L`GQKO??HTAioK,25-grid embeddable,sat
L`GQSH?_@``Q@X,minimally unembeddable,unsat
L`HIc?@_?V?eKD,13-grid embeddable,sat
L`HSE?AA?[_MKH,25-grid embeddable,sat
L`IQE?G?`Qac?l,embeddable,sat
L`LCC?UBR??T?V,5-grid embeddable,sat
L`PKD?AC?s_eGX,13-grid embeddable,sat
L`Q??@hK_i@p_s,5-grid embeddable,sat
L`Q??@pI_YAp_s,unembeddable,unsat
L`Q??BBI`IaoEP,unembeddable,unsat
L`QAd?CA@g`E?x,17-grid embeddable,sat
L`QBC_CA?h`IGh,9-grid embeddable,sat
L`QBC_CA?w_MGh,25-grid embeddable,sat
L`QC?@pJ?s?i?r,5-grid embeddable,sat
L`QDA_CA?i`EGh,25-grid embeddable,sat
L`QDA_CA?w_MGh,17-grid embeddable,sat
L`Ss@D?_?Q_s?N,5-grid embeddable,sat
L`U@?GA?PEbcoK,embeddable,sat
L`U@?GA?Pa`soK,25-grid embeddable,sat
L`U@?GpBe??R?Z,unembeddable,unsat
L`YO?CA?PTAioK,embeddable,sat
L`_IIa_?@o_M@d,5-grid embeddable,sat
L`_QHQOW?K@H?N,minimally unembeddable,unsat
L`_SQH_?@o_U@T,13-grid embeddable,sat
L`_Y@EOW?W?X?N,5-grid embeddable,sat
L``?hR?K?K@H?N,unembeddable,unsat
L``@?aaSOW?lAe,minimally unembeddable,unsat
L``AK_GG@h?YAL,13-grid embeddable,sat
L``Cb?G@@``K@d,minimally unembeddable,unsat
L`aAb?G@@``S@T,minimally unembeddable,unsat
L`aBA_CA?h`IGh,5-grid embeddable,sat
L`aBA_CA?i`EGh,25-grid embeddable,sat
L`c_I?@?_ZMA_k,embeddable,sat
L`hO?CA?Pa`soK,25-grid embeddable,sat
L`h__d?_?T?i?N,13-grid embeddable,sat
L`o_aIA?@o_i?l,25-grid embeddable,sat
LaMC@?bOOSac@F,13-grid embeddable,sat
Lba@??dOoRB@@d,9-grid embeddable,sat
Lba@??dSOR@P@d,minimally unembeddable,unsat
LcH@??qR?MPHC[,unembeddable,unsat
LcO_ZAO?@o_M@d,9-grid embeddable,sat
Lc_`A?sPOc`PAX,unembeddable,unsat
LdHC?OTBb??L?f,13-grid embeddable,sat
LdO_SDC?@o_Y@L,9-grid embeddable,sat
LgCc??q`O[HHC[,unembeddable,unsat
LgEC?@pE`W?h?t,unembeddable,unsat
LhY?_KO_?E`c?N,13-grid embeddable,sat
Lh_O?EFIaAA`AF,unembeddable,unsat
Lho__KO_?E`c?N,21-grid embeddable,sat
LiGSC?KAgJAQGR,unembeddable,unsat
Li__c?FBGcCHAF,unembeddable,unsat
Lk?H??UQSWCXC[,unembeddable,unsat
Lk?H??UY?YOXC[,embeddable,sat
Lk?H??sQO[OXC[,minimally unembeddable,unsat
LkCPIO__?K`K?N,25-grid embeddable,sat
LkCPQG__?K`K?N,7-grid embeddable,sat
LkE@??bBYAB@@b,embeddable,sat
LkGO??raaK@I@R,unembeddable,unsat
LkGO?CiDU??tAU,unembeddable,unsat
LkGS?OTBb??L?f,25-grid embeddable,sat
Lk__?CUBR?@TCU,unembeddable,unsat
Lk___OMDR??T?V,unembeddable,unsat
LmC_GU?G?E`c?N,embeddable,sat
LmGOOM?G?I`S?N,25-grid embeddable,sat
Lo?OY_g?CocYPK,minimally unembeddable,unsat
Lo?OhPG?CogiGk,3-grid embeddable,sat
Lo?OiOg?CogiGk,5-grid embeddable,sat
LoCOQGa?CoceOs,unembeddable,unsat
LoCY?C`?E__yIK,unembeddable,unsat
LoCa??UoPW@XC[,25-grid embeddable,sat
LoCa?@TIsAB@@b,3-grid embeddable,sat
LoCa?AXT@S?i?r,minimally unembeddable,unsat
LoCa?BPD`W@H?t,25-grid embeddable,sat
LoCoACI?E__uIS,5-grid embeddable,sat
LoCoACI?E_dE@s,minimally unembeddable,unsat
LoD?Xb?EGKCH?N,unembeddable,unsat
LoD@?@TIsAB@@b,5-grid embeddable,sat
LoD@?BPD`W@H?t,25-grid embeddable,sat
LoD@?BPE`W?h?t,minimally unembeddable,unsat
LoEA??iSOw?xG[,minimally unembeddable,unsat
LoHO_V?EHG?X?N,embeddable,sat
LoMA?`BG_a`c@F,13-grid embeddable,sat
LoO_oiOBIACP?N,3-grid embeddable,sat
LpEA?@BKOR@`@d,13-grid embeddable,sat
LpEA?OJOOLEA@F,5-grid embeddable,sat
LpEA?ObO_JBA@F,minimally unembeddable,unsat
LpL?_M?O?E`c?N,5-grid embeddable,sat
LpQ?_?TOoRD@@d,5-grid embeddable,sat
LpS__M?O?E`c?N,9-grid embeddable,sat
LqCXAC__?K`K?N,5-grid embeddable,sat
LqC_??qaQI@p?{,9-grid embeddable,sat
LqC_OG@?dPIa?{,25-grid embeddable,sat
LqC_hQ?O?E`c?N,5-grid embeddable,sat
LqC_pI?O?E`c?N,embeddable,sat
LqCg`E?O?E`c?N,minimally unembeddable,unsat
LqGO??X``IGXAk,9-grid embeddable,sat
LqGO?@H`_iCXAk,minimally unembeddable,unsat
LqGO?@QISI@p?{,unembeddable,unsat
LqGO?ADQ`QAp?{,unembeddable,unsat
LqGO?BBH_s@H@T,unembeddable,unsat
LqGO?DPIcG?rAY,unembeddable,unsat
LqGO?EaSOW?tAU,unembeddable,unsat
LqGOGOgDKAgS?r,minimally unembeddable,unsat
LqGOO?dO{AA`Ab,unembeddable,unsat
LqGOOAFEQCC`?V,3-grid embeddable,sat
LqGSA?KAgJCHCd,minimally unembeddable,unsat
LqI?_@PGoR@`@d,minimally unembeddable,unsat
LqQ@Og_C?K`K?N,13-grid embeddable,sat
Lq_P??pOoR@`@d,minimally unembeddable,unsat
Lq__a?FBGcCHAF,5-grid embeddable,sat
Lq`?`?FBGcCHAF,unembeddable,unsat
Lq`@Go_C?K`K?N,25-grid embeddable,sat
Ls?GW__OARCiCk,3-grid embeddable,sat
Ls?GW`?GARAUHS,5-grid embeddable,sat
Ls?GW`?GARAYHK,unembeddable,unsat
Ls?OX@?A@HbIOw,13-grid embeddable,sat
Ls?OX@?A@IbEOw,embeddable,sat
Ls?OX@?A@PaiOw,25-grid embeddable,sat
Ls?OX@?A@QaeOw,25-grid embeddable,sat
